Age	Gender	Ethnic Group Description	Subject Catalog Nbr	Instruction Mode Group	Session	Official Grade	
21	Male	Asian	ACG2021	1	8	B	
21	Female	Asian	ACG2021	1	8	W	
21	Female	White	ACG2021	2	8	A	
25	Female	White	ACG2021	1	8	WF	
22	Female	White	ACG2021	1	8	B	
20	Male	White	ACG2021	3	8	A	
21	Female	White	ACG2021	1	8	C	
21	Female	White	ACG2021	2	8	A	
22	Female	White	ACG2021	2	8	C	
22	Male	Asian	ACG2021	2	8	B	
33	Male	White	ACG2021	3	8	A	
22	Male	White	ACG2021	1	8	B	
40	Male	White	ACG2021	2	8	A	
28	Male	White	ACG2021	1	8	F	
31	Female	White	ACG2021	3	8	F	
22	Female	White	ACG2021	1	8	F	
22	Female	White	ACG2021	1	8	A	
23	Female	White	ACG2021	1	8	B	
22	Female	White	ACG2021	1	8	A	
39	Female	White	ACG2021	1	8	A	
21	Male	White	ACG2021	1	8	B	
20	Male	Black/African American	ACG2021	3	8	A	
24	Female	White	ACG2021	1	8	A	
23	Male	White	ACG2021	3	8	C	
34	Female	White	ACG2021	1	8	A	
24	Male	White	ACG2021	1	8	B	
21	Female	White	ACG2021	1	8	A	
25	Male	White	ACG2021	1	8	C	
21	Male	White	ACG2021	1	8	WF	
34	Female	White	ACG2021	1	8	W	
24	Female	White	ACG2021	3	8	C	
22	Female	Asian	ACG2021	1	8	A	
23	Male	White	ACG2021	1	8	A	
47	Male	Black/African American	ACG2021	3	8	C	
21	Female	Asian	ACG2021	1	8	B	
53	Female	White	ACG2021	1	8	A	
29	Male	White	ACG2021	3	8	B	
23	Female	White	ACG2021	1	8	C	
22	Female	White	ACG2021	1	8	D	
21	Female	White	ACG2021	2	8	A	
23	Male	Hispanic/Latino	ACG2021	2	8	A	
24	Female	White	ACG2021	1	8	B	
23	Female	Hispanic/Latino	ACG2021	1	8	C	
26	Male	White	ACG2021	1	8	W	
26	Male	White	ACG2021	3	8	A	
21	Female	White	ACG2021	1	8	F	
21	Female	White	ACG2021	3	8	B	
27	Female	Black/African American	ACG2021	1	8	F	
22	Female	White	ACG2021	1	8	A	
53	Male	Black/African American	ACG2021	1	8	W	
20	Female	White	ACG2021	3	8	A	
21	Male	White	ACG2021	2	8	W	
24	Male	White	ACG2021	1	8	A	
23	Male	White	ACG2021	1	8	B	
23	Male	White	ACG2021	1	8	B	
22	Male	White	ACG2021	2	8	B	
22	Male	White	ACG2021	1	8	B	
22	Female	Asian	ACG2021	1	8	A	
32	Unknown	Hispanic/Latino	ACG2021	3	8	F	
32	Unknown	Hispanic/Latino	ACG2021	1	8	WF	
21	Female	White	ACG2021	3	8	A	
26	Female	White	ACG2021	1	8	A	
23	Unknown	White	ACG2021	3	8	A	
21	Male	White	ACG2021	1	8	A	
22	Female	White	ACG2021	2	8	B	
21	Male	White	ACG2021	1	8	WF	
21	Unknown	White	ACG2021	1	8	A	
42	Male	White	ACG2021	1	8	B	
23	Male	White	ACG2021	2	8	A	
24	Female	White	ACG2021	3	8	B	
28	Male	Asian	ACG2021	2	8	A	
36	Female	White	ACG2021	3	8	WF	
23	Female	White	ACG2021	2	8	C	
22	Male	White	ACG2021	2	8	B	
19	Female	White	ACG2021	1	8	A	
53	Female	White	ACG2021	1	8	A	
23	Female	White	ACG2021	2	8	A	
37	Male	Multi-Ethnic	ACG2021	1	8	A	
23	Female	White	ACG2021	3	8	C	
23	Female	Black/African American	ACG2021	1	8	W	
27	Female	Native Hawaiian/Oth Pac Island	ACG2021	1	8	D	
30	Male	White	ACG2021	1	8	A	
49	Male	Hispanic/Latino	ACG2021	1	8	B	
25	Male	White	ACG2021	2	8	B	
40	Female	Hispanic/Latino	ACG2021	1	8	F	
40	Female	Hispanic/Latino	ACG2021	1	8	D	
21	Female	White	ACG2021	1	8	B	
19	Female	White	ACG2021	3	8	B	
21	Male	Multi-Ethnic	ACG2021	1	8	F	
21	Male	Hispanic/Latino	ACG2021	2	8	A	
19	Female	White	ACG2021	1	8	C	
22	Female	Hispanic/Latino	ACG2021	3	8	B	
21	Female	Hispanic/Latino	ACG2021	2	8	B	
36	Female	White	ACG2021	1	8	B	
34	Male	Hispanic/Latino	ACG2021	2	8	C	
20	Male	White	ACG2021	1	8	A	
43	Female	Hispanic/Latino	ACG2021	1	8	B	
45	Female	White	ACG2021	1	8	F	
45	Female	White	ACG2021	1	8	F	
26	Female	White	ACG2021	3	8	B	
19	Female	Asian	ACG2021	3	8	B	
20	Male	Hispanic/Latino	ACG2021	3	8	B	
64	Male	Black/African American	ACG2021	3	8	F	
23	Male	White	ACG2021	3	8	C	
21	Male	White	ACG2021	3	8	A	
20	Female	White	ACG2021	1	8	A	
41	Female	White	ACG2021	1	8	A	
23	Male	White	ACG2021	3	8	W	
23	Male	White	ACG2021	1	8	B	
23	Male	White	ACG2021	1	8	A	
23	Female	Hispanic/Latino	ACG2021	3	8	A	
56	Female	White	ACG2021	3	8	C	
22	Male	White	ACG2021	1	8	B	
21	Male	White	ACG2021	1	8	W	
21	Male	White	ACG2021	2	8	WF	
21	Male	White	ACG2021	3	8	F	
22	Female	White	ACG2021	3	8	A	
22	Male	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
34	Female	White	ACG2021	1	8	A	
22	Female	White	ACG2021	3	8	F	
32	Male	Hispanic/Latino	ACG2021	1	8	WF	
39	Male	White	ACG2021	1	8	F	
24	Male	White	ACG2021	2	8	B	
20	Female	White	ACG2021	2	8	B	
31	Female	White	ACG2021	2	8	A	
22	Female	Asian	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	C	
22	Male	White	ACG2021	2	8	W	
35	Female	Asian	ACG2021	3	8	B	
22	Male	White	ACG2021	3	8	B	
46	Male	American Indian/Alaska Native	ACG2021	1	8	WF	
22	Female	White	ACG2021	2	8	W	
46	Female	Hispanic/Latino	ACG2021	2	8	W	
21	Male	White	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	A	
21	Female	White	ACG2021	1	8	A	
23	Female	Black/African American	ACG2021	2	8	B	
23	Male	Hispanic/Latino	ACG2021	1	8	B	
22	Female	Hispanic/Latino	ACG2021	3	8	A	
23	Female	White	ACG2021	2	8	C	
22	Female	White	ACG2021	1	8	A	
25	Female	White	ACG2021	2	8	A	
22	Female	White	ACG2021	1	8	B	
22	Male	White	ACG2021	1	8	WF	
23	Female	White	ACG2021	1	8	A	
28	Male	White	ACG2021	1	8	A	
27	Male	White	ACG2021	3	8	A	
23	Male	White	ACG2021	1	8	W	
23	Male	White	ACG2021	1	8	B	
22	Male	White	ACG2021	1	8	B	
37	Female	White	ACG2021	1	8	F	
26	Female	White	ACG2021	1	8	C	
22	Female	Hispanic/Latino	ACG2021	2	8	A	
49	Female	Black/African American	ACG2021	1	8	D	
23	Male	White	ACG2021	1	8	C	
24	Female	White	ACG2021	1	8	W	
59	Female	White	ACG2021	1	8	C	
22	Female	White	ACG2021	1	8	F	
22	Female	White	ACG2021	3	8	C	
45	Male	White	ACG2021	1	8	A	
24	Male	White	ACG2021	1	8	B	
26	Male	White	ACG2021	1	8	A	
38	Female	White	ACG2021	1	8	F	
38	Female	White	ACG2021	1	8	C	
28	Male	Black/African American	ACG2021	1	8	B	
35	Male	Hispanic/Latino	ACG2021	1	8	C	
38	Female	Asian	ACG2021	1	8	B	
32	Male	White	ACG2021	1	8	W	
35	Male	White	ACG2021	1	8	C	
24	Female	White	ACG2021	1	8	WF	
27	Female	Asian	ACG2021	3	8	C	
23	Female	White	ACG2021	1	8	W	
41	Male	White	ACG2021	2	8	A	
26	Male	White	ACG2021	2	8	B	
24	Female	White	ACG2021	2	8	C	
24	Male	White	ACG2021	1	8	WF	
35	Male	Multi-Ethnic	ACG2021	3	8	C	
30	Female	Black/African American	ACG2021	3	8	B	
32	Male	White	ACG2021	2	8	C	
25	Male	Black/African American	ACG2021	1	8	B	
25	Female	White	ACG2021	1	8	C	
37	Female	White	ACG2021	1	8	A	
24	Female	White	ACG2021	1	8	F	
36	Female	White	ACG2021	1	8	C	
35	Male	White	ACG2021	1	8	W	
23	Male	White	ACG2021	1	8	A	
28	Male	White	ACG2021	1	8	B	
35	Female	Black/African American	ACG2021	1	8	B	
23	Male	Asian	ACG2021	2	8	B	
27	Female	Hispanic/Latino	ACG2021	1	8	B	
25	Female	White	ACG2021	1	8	F	
23	Female	White	ACG2021	1	8	D	
23	Female	White	ACG2021	1	8	F	
23	Female	White	ACG2021	1	8	B	
24	Female	White	ACG2021	1	8	A	
36	Male	White	ACG2021	1	8	F	
25	Male	Black/African American	ACG2021	1	8	D	
25	Male	Black/African American	ACG2021	1	8	B	
23	Female	White	ACG2021	1	8	C	
22	Female	Black/African American	ACG2021	1	8	D	
22	Male	White	ACG2021	1	8	A	
47	Male	White	ACG2021	2	8	A	
49	Female	White	ACG2021	3	8	F	
49	Female	White	ACG2021	3	8	C	
38	Female	Black/African American	ACG2021	1	8	W	
23	Male	Asian	ACG2021	2	8	A	
39	Male	White	ACG2021	1	8	A	
29	Female	Multi-Ethnic	ACG2021	1	8	WF	
29	Female	Multi-Ethnic	ACG2021	1	8	C	
22	Male	White	ACG2021	1	8	A	
24	Female	White	ACG2021	1	8	W	
24	Male	White	ACG2021	1	8	W	
35	Male	White	ACG2021	1	8	C	
24	Male	White	ACG2021	3	8	B	
24	Male	Hispanic/Latino	ACG2021	3	8	B	
31	Female	White	ACG2021	3	8	C	
26	Male	Black/African American	ACG2021	1	8	A	
34	Male	Asian	ACG2021	1	8	A	
23	Unknown	Hispanic/Latino	ACG2021	1	8	C	
25	Female	White	ACG2021	1	8	D	
39	Female	Black/African American	ACG2021	1	8	C	
22	Female	White	ACG2021	1	8	B	
25	Female	White	ACG2021	1	8	D	
21	Male	Asian	ACG2021	3	8	C	
34	Male	Black/African American	ACG2021	3	8	F	
34	Male	Black/African American	ACG2021	2	8	F	
25	Female	White	ACG2021	2	8	C	
40	Female	Not Specified	ACG2021	1	8	D	
33	Male	Multi-Ethnic	ACG2021	1	8	A	
44	Female	White	ACG2021	1	8	A	
33	Female	White	ACG2021	1	8	A	
28	Female	Hispanic/Latino	ACG2021	3	8	B	
23	Female	Asian	ACG2021	3	8	A	
31	Female	White	ACG2021	1	8	A	
23	Male	Not Specified	ACG2021	1	8	C	
29	Female	Hispanic/Latino	ACG2021	1	8	F	
21	Female	Hispanic/Latino	ACG2021	1	8	F	
21	Female	Hispanic/Latino	ACG2021	2	8	F	
25	Male	White	ACG2021	1	8	F	
23	Male	Hispanic/Latino	ACG2021	3	8	F	
25	Female	Asian	ACG2021	2	8	A	
27	Female	Hispanic/Latino	ACG2021	1	8	A	
22	Male	American Indian/Alaska Native	ACG2021	2	8	A	
43	Female	White	ACG2021	3	8	A	
52	Male	Black/African American	ACG2021	1	8	C	
25	Female	White	ACG2021	1	8	A	
40	Female	Hispanic/Latino	ACG2021	3	8	A	
21	Male	Asian	ACG2021	1	8	C	
41	Male	White	ACG2021	1	8	WF	
26	Female	Hispanic/Latino	ACG2021	1	8	A	
32	Male	Not Specified	ACG2021	2	8	B	
42	Female	White	ACG2021	2	8	A	
21	Female	White	ACG2021	2	8	A	
20	Male	Multi-Ethnic	ACG2021	1	8	F	
22	Male	White	ACG2021	2	8	A	
22	Female	Asian	ACG2021	3	8	A	
27	Female	Hispanic/Latino	ACG2021	2	8	F	
21	Female	Asian	ACG2021	1	8	A	
21	Female	White	ACG2021	3	8	C	
21	Female	White	ACG2021	1	8	B	
20	Male	White	ACG2021	3	8	A	
34	Male	White	ACG2021	1	8	B	
21	Female	Multi-Ethnic	ACG2021	1	8	A	
21	Female	White	ACG2021	2	8	A	
21	Female	White	ACG2021	3	8	A	
21	Female	Black/African American	ACG2021	1	8	D	
21	Male	White	ACG2021	1	8	W	
21	Male	White	ACG2021	3	8	B	
21	Female	White	ACG2021	2	8	A	
24	Male	White	ACG2021	3	8	A	
23	Male	White	ACG2021	1	8	F	
23	Female	Asian	ACG2021	1	8	B	
57	Male	Black/African American	ACG2021	3	8	B	
23	Male	Asian	ACG2021	1	8	A	
23	Male	Asian	ACG2021	1	8	C	
23	Female	Asian	ACG2021	1	8	B	
25	Male	Asian	ACG2021	2	8	B	
31	Female	Hispanic/Latino	ACG2021	1	8	A	
22	Female	Asian	ACG2021	2	8	A	
21	Male	White	ACG2021	3	8	B	
61	Female	White	ACG2021	1	8	F	
23	Female	White	ACG2021	1	8	A	
22	Female	Hispanic/Latino	ACG2021	1	8	A	
22	Female	White	ACG2021	1	8	W	
50	Male	Black/African American	ACG2021	2	8	WF	
21	Male	Multi-Ethnic	ACG2021	3	8	F	
22	Female	White	ACG2021	2	8	A	
27	Female	Not Specified	ACG2021	2	8	W	
22	Female	Hispanic/Latino	ACG2021	1	8	C	
22	Female	White	ACG2021	2	8	B	
24	Male	White	ACG2021	1	8	C	
25	Male	White	ACG2021	1	8	A	
44	Male	White	ACG2021	1	8	WF	
34	Female	White	ACG2021	1	8	B	
25	Female	White	ACG2021	1	8	W	
42	Female	White	ACG2021	2	8	A	
33	Female	White	ACG2021	1	8	C	
24	Female	White	ACG2021	1	8	C	
33	Female	American Indian/Alaska Native	ACG2021	1	8	A	
22	Male	White	ACG2021	3	8	A	
24	Female	White	ACG2021	2	8	B	
23	Female	White	ACG2021	2	8	B	
23	Female	White	ACG2021	1	8	B	
24	Male	White	ACG2021	2	8	WF	
26	Male	White	ACG2021	1	8	B	
35	Male	White	ACG2021	1	8	B	
46	Male	White	ACG2021	2	8	A	
22	Female	White	ACG2021	2	8	C	
24	Female	White	ACG2021	2	8	B	
23	Female	Multi-Ethnic	ACG2021	1	8	B	
36	Male	Black/African American	ACG2021	1	8	W	
59	Female	Asian	ACG2021	3	8	A	
23	Female	White	ACG2021	1	8	B	
32	Male	White	ACG2021	1	8	A	
38	Female	Black/African American	ACG2021	1	8	F	
38	Female	Black/African American	ACG2021	3	8	C	
25	Male	Hispanic/Latino	ACG2021	1	8	F	
27	Male	Not Specified	ACG2021	1	8	W	
21	Male	White	ACG2021	3	8	A	
23	Male	White	ACG2021	2	8	A	
24	Male	White	ACG2021	1	8	B	
25	Male	Multi-Ethnic	ACG2021	1	8	C	
22	Male	White	ACG2021	1	8	A	
21	Female	Asian	ACG2021	1	8	B	
36	Female	White	ACG2021	1	8	W	
23	Male	White	ACG2021	2	8	W	
24	Female	White	ACG2021	1	8	A	
24	Female	White	ACG2021	1	8	F	
22	Male	White	ACG2021	3	8	C	
53	Male	Black/African American	ACG2021	1	8	B	
27	Female	White	ACG2021	2	8	A	
24	Male	White	ACG2021	2	8	A	
24	Female	White	ACG2021	3	8	A	
32	Male	White	ACG2021	1	8	A	
24	Male	White	ACG2021	2	8	W	
26	Male	White	ACG2021	1	8	F	
28	Female	White	ACG2021	1	8	A	
23	Female	White	ACG2021	1	8	C	
22	Female	Black/African American	ACG2021	1	8	B	
24	Female	White	ACG2021	1	8	B	
34	Male	White	ACG2021	2	8	C	
31	Female	Multi-Ethnic	ACG2021	3	8	W	
52	Female	White	ACG2021	1	8	A	
28	Male	Not Specified	ACG2021	1	8	A	
24	Male	White	ACG2021	3	8	B	
23	Male	White	ACG2021	1	8	F	
23	Male	White	ACG2021	1	8	W	
23	Male	White	ACG2021	3	8	B	
56	Male	White	ACG2021	3	8	A	
23	Male	White	ACG2021	1	8	D	
23	Male	White	ACG2021	2	8	F	
23	Female	Hispanic/Latino	ACG2021	3	8	A	
23	Male	Hispanic/Latino	ACG2021	1	8	W	
38	Female	White	ACG2021	2	8	B	
23	Male	Asian	ACG2021	1	8	A	
32	Male	White	ACG2021	1	8	C	
50	Male	Black/African American	ACG2021	3	8	C	
24	Male	White	ACG2021	3	8	C	
37	Female	Black/African American	ACG2021	1	8	C	
24	Female	White	ACG2021	3	8	B	
24	Male	White	ACG2021	1	8	C	
24	Male	White	ACG2021	1	8	F	
24	Male	White	ACG2021	1	8	F	
27	Male	White	ACG2021	1	8	C	
25	Female	White	ACG2021	2	8	B	
24	Male	White	ACG2021	3	8	A	
24	Female	White	ACG2021	2	8	C	
55	Female	White	ACG2021	3	8	A	
32	Female	White	ACG2021	3	8	WF	
25	Male	White	ACG2021	3	8	A	
25	Male	Black/African American	ACG2021	2	8	A	
23	Female	Black/African American	ACG2021	1	8	F	
23	Female	White	ACG2021	1	8	C	
22	Female	Asian	ACG2021	1	8	C	
39	Male	White	ACG2021	1	8	A	
24	Female	White	ACG2021	1	8	B	
40	Male	Black/African American	ACG2021	2	8	A	
